Account Solana;Token Account Solana;HolderAddress BSC;Balance;Balance Decimals;Public Tag;Owner;
;;0xe7f62482a0b040f34ab1f880c057b6d46f245ad1;200.000.000;200.000.000.000.000.000.000.000.000;;;
;;0x8218d10c26c76e50a82570e154367cabdb00af37;163.238.315;163.238.314.840.000.000.000.000.000;;;
;;0xaf1a911a15edf5405c3b8cbd711508a28d2b4b0a;150.000.000;150.000.000.000.000.000.000.000.000;;;
;;0xee804942453cb60801dab33f57267d987ec1361f;119.707.134;119.707.134.280.000.000.000.000.000;;;
;;0x021a889a48e4dd0c77088fcecafcb4debf173166;110.168.176;110.168.176.170.000.000.000.000.000;;;
;;0x5a81ef38f60dc18aeeba0e90c4fb4624087d005d;74.971.803;74.971.803.380.000.000.000.000.000;PancakeV3 pool;;
;;0x124d9bf2fecbc16b54ec4accdb14d44c2144f012;60.992.532;60.992.531.890.000.000.000.000.000;Lbank hot wallet 5;;
;;0xb6f6d86a8f9879a9c87f643768d9efc38c1da6e7;32.170.732;32.170.731.690.000.000.000.000.000;Wormhole token bridge;;31.900.765
;;0x4982085c9e2f89f2ecb8131eca71afad896e89cb;28.213.937;28.213.937.180.000.000.000.000.000;MEXC13;;
;;0x85343685c75c8454b6941299f1025185121d16b2;11.357.248;11.357.247.700.000.000.000.000.000;;;
;;0xee1d4e41ffed6a1a11204fea77d1213968eaac91;9.350.110;9.350.110.000.000.000.000.000.000;;;
;;0x589530493095a0e7090dcec9d0396d493b572fe1;4.374.061;4.374.061.490.000.000.000.000.000;;;
;;0x469ab499e92492f1951f78a35765ff4b04414df4;4.320.620;4.320.619.920.000.000.000.000.000;;;
;;0x3cd8a4abf6cdc76687964c39ca3cd0d70372cc49;4.114.103;4.114.103.000.000.000.000.000.000;;;
;;0xdab1b872e0cad5c6fb98d94610d149bc71aa789f;2.035.905;2.035.905.260.000.000.000.000.000;;;
;;0x50466d283f999860517306a5f5eb63dc337f9bb4;1.994.389;1.994.389.290.000.000.000.000.000;;;
;;0xcc39436ee46eda8cf94e212c6ba5288173a34634;1.729.808;1.729.808.410.000.000.000.000.000;;;
;;0x5c0c5d788661dde7437842fb7f0bbff7f1607583;1.585.665;1.585.664.960.000.000.000.000.000;;;
;;0xed0c7973914e07adc200fd331a53467a73b09861;1.293.366;1.293.366.160.000.000.000.000.000;;;
;;0x9ed2af9d4ab71740e4d63fab593be7e8701ea169;1.102.047;1.102.047.490.000.000.000.000.000;;;
;;0x079758d7ac8804cf5b346f30b4ebbe9e7488a89e;1.011.761;1.011.761.250.000.000.000.000.000;;;
;;0x2cd90158baae285010a5ed7c549c2e5b4c0715f4;1.011.011;1.011.011.030.000.000.000.000.000;Chainport : vault;;
;;0x4fb13a3839cef47a82afa4bac38850a132b04485;799.908;799.908.240.000.000.000.000.000;;;
;;0x3089a7e5e898d828e307eb797d37840ded4d7c61;607.721;607.720.620.000.000.000.000.000;;;
;;0x53af8297825f8f79a8cd8b59358b9b9beb24380e;569.859;569.858.900.000.000.000.000.000;;;
;;0x701c8a95ebebfc0a1210e8261dae2cd6a88b142a;495.355;495.355.200.000.000.000.000.000;;;
;;0x6041a5c2e1da3879e12046c764e11a9d3d1c5fef;447.963;447.963.490.000.000.000.000.000;;;
;;0x243ab73f47572e5ce30d5ec38d51cc05fdd17bb5;430.000;430.000.000.000.000.000.000.000;;;
;;0xa9f021b1444041a0beb1da7c379aa5f71c6172a3;402.596;402.595.580.000.000.000.000.000;;;
;;0xacc568782bdeebcf4528cb7d6fa3fa8a5d3da5df;342.379;342.378.950.000.000.000.000.000;;;
;;0x0d0707963952f2fba59dd06f2b425ace40b492fe;321.909;321.908.580.000.000.000.000.000;Gate io 1;;
;;0x5cfc7e634b0c7f137e94c94a1aeab4edd924d872;320.998;320.998.090.000.000.000.000.000;;;
;;0xeb664f092c28b6948c5a51051c6ae4fe3a15a3ba;305.590;305.590.250.000.000.000.000.000;;;
;;0x80b4bb94955b0dbd05cd2afb259cceb924a9d5e8;300.528;300.528.000.000.000.000.000.000;;;
;;0x2f1b9979c3cbefb8e130f1db91f53424f986a338;287.089;287.088.790.000.000.000.000.000;;;
;;0xe9e7f237b19e10d865de6d417b3c0ce30caa886b;270.110;270.109.960.000.000.000.000.000;;;
;;0xc3dcd744db3f114f0edf03682b807b78a227bf74;254.477;254.477.390.000.000.000.000.000;;;
